Use Case Scenario #04: Fire in Building - Fire-Fighters Needed,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
91,High: > 10,Medium: 80-200,Medium: 25-50%,No,Yes,High: >32
92,High: > 10,Medium: 80-200,Medium: 25-50%,No,No,High: >32
93,High: > 10,Medium: 80-200,High: > 50%,Yes,Yes,High: >32
94,High: > 10,Medium: 80-200,High: > 50%,Yes,No,High: >32
95,High: > 10,Medium: 80-200,High: > 50%,No,Yes,High: >32
96,High: > 10,Medium: 80-200,High: > 50%,No,No,High: >32
97,High: > 10,High: > 200,Low: < 25%,Yes,Yes,High: >32
98,High: > 10,High: > 200,Low: < 25%,Yes,No,High: >32
99,High: > 10,High: > 200,Low: < 25%,No,Yes,High: >32
100,High: > 10,High: > 200,Low: < 25%,No,No,High: >32
101,High: > 10,High: > 200,Medium: 25-50%,Yes,Yes,High: >32
102,High: > 10,High: > 200,Medium: 25-50%,Yes,No,High: >32
103,High: > 10,High: > 200,Medium: 25-50%,No,Yes,High: >32
104,High: > 10,High: > 200,Medium: 25-50%,No,No,High: >32
105,High: > 10,High: > 200,High: > 50%,Yes,Yes,High: >32
106,High: > 10,High: > 200,High: > 50%,Yes,No,High: >32
107,High: > 10,High: > 200,High: > 50%,No,Yes,High: >32
108,High: > 10,High: > 200,High: > 50%,No,No,High: >32
