Use Case Scenario #05: Fire in Building - Firefighting Vehicles Needed,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
39,Medium: 4-10,Low: < 80,Low: < 25%,No,Yes,Medium: 4-8
40,Medium: 4-10,Low: < 80,Low: < 25%,No,No,Medium: 4-8
41,Medium: 4-10,Low: < 80,Medium: 25-50%,Yes,Yes,Medium: 4-8
42,Medium: 4-10,Low: < 80,Medium: 25-50%,Yes,No,Medium: 4-8
43,Medium: 4-10,Low: < 80,Medium: 25-50%,No,Yes,High: >8
44,Medium: 4-10,Low: < 80,Medium: 25-50%,No,No,Medium: 4-8
45,Medium: 4-10,Low: < 80,High: > 50%,Yes,Yes,Medium: 4-8
46,Medium: 4-10,Low: < 80,High: > 50%,Yes,No,Medium: 4-8
47,Medium: 4-10,Low: < 80,High: > 50%,No,Yes,High: >8
48,Medium: 4-10,Low: < 80,High: > 50%,No,No,Medium: 4-8
49,Medium: 4-10,Medium: 80-200,Low: < 25%,Yes,Yes,Medium: 4-8
50,Medium: 4-10,Medium: 80-200,Low: < 25%,Yes,No,Medium: 4-8
51,Medium: 4-10,Medium: 80-200,Low: < 25%,No,Yes,High: >8
52,Medium: 4-10,Medium: 80-200,Low: < 25%,No,No,Medium: 4-8
53,Medium: 4-10,Medium: 80-200,Medium: 25-50%,Yes,Yes,Medium: 4-8
54,Medium: 4-10,Medium: 80-200,Medium: 25-50%,Yes,No,Medium: 4-8
55,Medium: 4-10,Medium: 80-200,Medium: 25-50%,No,Yes,High: >8
56,Medium: 4-10,Medium: 80-200,Medium: 25-50%,No,No,Medium: 4-8
57,Medium: 4-10,Medium: 80-200,High: > 50%,Yes,Yes,Medium: 4-8
58,Medium: 4-10,Medium: 80-200,High: > 50%,Yes,No,Medium: 4-8
59,Medium: 4-10,Medium: 80-200,High: > 50%,No,Yes,High: >8
60,Medium: 4-10,Medium: 80-200,High: > 50%,No,No,Medium: 4-8
61,Medium: 4-10,High: > 200,Low: < 25%,Yes,Yes,Medium: 4-8
62,Medium: 4-10,High: > 200,Low: < 25%,Yes,No,Medium: 4-8
63,Medium: 4-10,High: > 200,Low: < 25%,No,Yes,High: >8
64,Medium: 4-10,High: > 200,Low: < 25%,No,No,Medium: 4-8
65,Medium: 4-10,High: > 200,Medium: 25-50%,Yes,Yes,Medium: 4-8
66,Medium: 4-10,High: > 200,Medium: 25-50%,Yes,No,Medium: 4-8
67,Medium: 4-10,High: > 200,Medium: 25-50%,No,Yes,High: >8
68,Medium: 4-10,High: > 200,Medium: 25-50%,No,No,Medium: 4-8
69,Medium: 4-10,High: > 200,High: > 50%,Yes,Yes,High: >8
70,Medium: 4-10,High: > 200,High: > 50%,Yes,No,High: >8
71,Medium: 4-10,High: > 200,High: > 50%,No,Yes,High: >8
72,Medium: 4-10,High: > 200,High: > 50%,No,No,High: >8
73,High: > 10,Low: < 80,Low: < 25%,Yes,Yes,High: >8
74,High: > 10,Low: < 80,Low: < 25%,Yes,No,High: >8
75,High: > 10,Low: < 80,Low: < 25%,No,Yes,High: >8
76,High: > 10,Low: < 80,Low: < 25%,No,No,High: >8
77,High: > 10,Low: < 80,Medium: 25-50%,Yes,Yes,High: >8
78,High: > 10,Low: < 80,Medium: 25-50%,Yes,No,High: >8
79,High: > 10,Low: < 80,Medium: 25-50%,No,Yes,High: >8
80,High: > 10,Low: < 80,Medium: 25-50%,No,No,High: >8
81,High: > 10,Low: < 80,High: > 50%,Yes,Yes,High: >8
82,High: > 10,Low: < 80,High: > 50%,Yes,No,High: >8
83,High: > 10,Low: < 80,High: > 50%,No,Yes,High: >8
84,High: > 10,Low: < 80,High: > 50%,No,No,High: >8
85,High: > 10,Medium: 80-200,Low: < 25%,Yes,Yes,High: >8
86,High: > 10,Medium: 80-200,Low: < 25%,Yes,No,High: >8
87,High: > 10,Medium: 80-200,Low: < 25%,No,Yes,High: >8
88,High: > 10,Medium: 80-200,Low: < 25%,No,No,High: >8
89,High: > 10,Medium: 80-200,Medium: 25-50%,Yes,Yes,High: >8
90,High: > 10,Medium: 80-200,Medium: 25-50%,Yes,No,High: >8
91,High: > 10,Medium: 80-200,Medium: 25-50%,No,Yes,High: >8
92,High: > 10,Medium: 80-200,Medium: 25-50%,No,No,High: >8
93,High: > 10,Medium: 80-200,High: > 50%,Yes,Yes,High: >8
94,High: > 10,Medium: 80-200,High: > 50%,Yes,No,High: >8
95,High: > 10,Medium: 80-200,High: > 50%,No,Yes,High: >8
96,High: > 10,Medium: 80-200,High: > 50%,No,No,High: >8
97,High: > 10,High: > 200,Low: < 25%,Yes,Yes,High: >8
98,High: > 10,High: > 200,Low: < 25%,Yes,No,High: >8
99,High: > 10,High: > 200,Low: < 25%,No,Yes,High: >8
100,High: > 10,High: > 200,Low: < 25%,No,No,High: >8
101,High: > 10,High: > 200,Medium: 25-50%,Yes,Yes,High: >8
102,High: > 10,High: > 200,Medium: 25-50%,Yes,No,High: >8
103,High: > 10,High: > 200,Medium: 25-50%,No,Yes,High: >8
104,High: > 10,High: > 200,Medium: 25-50%,No,No,High: >8
105,High: > 10,High: > 200,High: > 50%,Yes,Yes,High: >8
106,High: > 10,High: > 200,High: > 50%,Yes,No,High: >8
107,High: > 10,High: > 200,High: > 50%,No,Yes,High: >8
108,High: > 10,High: > 200,High: > 50%,No,No,High: >8
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
